Date,Hour,Month,Temperature
6,6,6,28.34
6,7,6,29.01
6,8,6,30.68
6,9,6,32.21
6,10,6,33.70
6,11,6,32.68
6,12,6,33.13
6,13,6,33.54
6,14,6,32.40
6,15,6,31.07
6,16,6,30.68
6,17,6,29.52
6,18,6,28.15
6,19,6,27.05
6,20,6,26.95
6,21,6,26.88
6,22,6,26.66
6,23,6,26.69
7,0,6,26.33
7,1,6,26.02
7,2,6,25.72
7,3,6,25.38
7,4,6,25.03
7,5,6,24.91
7,6,6,24.98
7,7,6,25.03
7,8,6,25.37
7,9,6,25.62
7,10,6,25.85
7,11,6,26.87
7,12,6,28.12
7,13,6,29.29
7,14,6,29.26
7,15,6,28.91
7,16,6,28.59
7,17,6,27.74
7,18,6,27.09
7,19,6,26.57
7,20,6,26.35
7,21,6,26.17
7,22,6,26.04
7,23,6,25.73
8,0,6,25.41
8,1,6,25.11
8,2,6,25.10
8,3,6,25.14
8,4,6,25.24
8,5,6,25.43
8,6,6,26.29
8,7,6,27.09
8,8,6,28.40
8,9,6,29.63
8,10,6,30.75
8,11,6,30.64
8,12,6,31.52
8,13,6,32.27
8,14,6,31.94
8,15,6,31.83
8,16,6,31.56
8,17,6,30.99
8,18,6,29.14
8,19,6,27.39
8,20,6,27.04
8,21,6,26.72
8,22,6,26.57
8,23,6,26.60
9,0,6,26.64
9,1,6,26.57
9,2,6,26.41
9,3,6,26.27
9,4,6,26.10
9,5,6,26.28
9,6,6,27.17
9,7,6,27.90
9,8,6,29.14
9,9,6,30.38
9,10,6,30.81
9,11,6,31.37
9,12,6,32.16
9,13,6,32.46
9,14,6,33.15
9,15,6,32.71
9,16,6,33.92
9,17,6,32.42
9,18,6,30.59
9,19,6,28.81
9,20,6,28.47
9,21,6,28.16
9,22,6,27.80
9,23,6,27.74
10,0,6,27.72
10,1,6,27.57
10,2,6,27.57
10,3,6,27.39
10,4,6,27.29
10,5,6,27.19
10,6,6,28.07
10,7,6,28.74
10,8,6,30.07
10,9,6,31.27
10,10,6,32.46
10,11,6,33.16
10,12,6,33.78
10,13,6,33.00
10,14,6,34.25
10,15,6,33.32
10,16,6,33.47
10,17,6,31.96
10,18,6,30.51
10,19,6,28.84
10,20,6,28.37
10,21,6,28.02
10,22,6,27.61
10,23,6,27.59
